Date,Name,Year,Letterboxd URI
2024-07-05,Pearl,2022,https://boxd.it/zPbe
2024-08-24,Deadpool & Wolverine,2024,https://boxd.it/jq8s
2024-10-10,Joker,2019,https://boxd.it/h4cS
2024-10-10,The Green Mile,1999,https://boxd.it/2agG
2024-10-10,Everything Everywhere All at Once,2022,https://boxd.it/jUk4
2024-10-10,The Pianist,2002,https://boxd.it/2aqc
2024-10-10,Grave of the Fireflies,1988,https://boxd.it/1RUM
2024-10-10,Brokeback Mountain,2005,https://boxd.it/2b2q
2024-10-10,Titanic,1997,https://boxd.it/2a2k
2024-10-10,The Imitation Game,2014,https://boxd.it/6aig
2024-10-10,Green Book,2018,https://boxd.it/hErk
2024-10-10,Spirited Away,2001,https://boxd.it/2b4m
2024-10-10,The Secret Life of Walter Mitty,2013,https://boxd.it/3SWy
2024-10-10,Dead Poets Society,1989,https://boxd.it/2aSg
2024-10-10,Her,2013,https://boxd.it/4O24
2024-10-10,Schindler's List,1993,https://boxd.it/2aq2
2024-10-10,Requiem for a Dream,2000,https://boxd.it/29VI
2024-10-10,Neon Genesis Evangelion: The End of Evangelion,1997,https://boxd.it/1GRM
2024-10-10,Society of the Snow,2023,https://boxd.it/y9aw
2024-10-10,Okja,2017,https://boxd.it/dvXe
2024-10-10,Coco,2017,https://boxd.it/bYJQ
2024-10-10,You Don't Mess with the Zohan,2008,https://boxd.it/1VHs
2024-10-10,Kids,1995,https://boxd.it/1YUY
2024-10-10,L̩on: The Professional,1994,https://boxd.it/2b8S
2024-10-10,Logan,2017,https://boxd.it/7Piy
2024-10-10,Oppenheimer,2023,https://boxd.it/wUow
2024-10-10,Uncut Gems,2019,https://boxd.it/gXGc
2024-10-10,The Whale,2022,https://boxd.it/tw4c
2024-10-10,Inside Out,2015,https://boxd.it/4KHC
2024-10-10,Hereditary,2018,https://boxd.it/hNVe
2024-10-10,I Saw the Devil,2010,https://boxd.it/FaK
2024-10-10,A Nightmare on Elm Street,1984,https://boxd.it/2aw0
2024-10-10,28 Days Later,2002,https://boxd.it/2aXU
2024-10-10,"As Above, So Below",2014,https://boxd.it/7yui
2024-10-11,A Quiet Place,2018,https://boxd.it/fVJQ
2024-10-11,Dawn of the Dead,2004,https://boxd.it/29gK
2024-10-11,Se7en,1995,https://boxd.it/29zs
2024-10-11,Halloween II,1981,https://boxd.it/1UeE
2024-10-11,Halloween III: Season of the Witch,1982,https://boxd.it/1VFc
2024-10-11,[REC],2007,https://boxd.it/20ma
2024-10-11,Saw,2004,https://boxd.it/2aWW
2024-10-11,Shutter Island,2010,https://boxd.it/1U82
2024-10-11,Nosferatu,1922,https://boxd.it/29TM
2024-10-11,Midsommar,2019,https://boxd.it/jhxe
2024-10-11,The Exorcism of Emily Rose,2005,https://boxd.it/200I
2024-10-11,Jaws,1975,https://boxd.it/2a5e
2024-10-11,The Shining,1980,https://boxd.it/29Nu
2024-10-11,Coraline,2009,https://boxd.it/1NhQ
2024-10-11,The Thing,1982,https://boxd.it/294O
2024-10-11,Train to Busan,2016,https://boxd.it/dSQU
2024-10-11,Gremlins,1984,https://boxd.it/29gg
2024-10-11,Nope,2022,https://boxd.it/sDCe
2024-10-11,Hellraiser,1987,https://boxd.it/1Zpi
2024-10-11,Paranormal Activity,2007,https://boxd.it/1yIM
2024-10-11,Halloween,1978,https://boxd.it/2wRu
2024-10-11,Killer Klowns from Outer Space,1988,https://boxd.it/1Kpi
2024-10-11,The Craft,1996,https://boxd.it/1Zai
2024-10-11,Ring,1998,https://boxd.it/26tw
2024-10-11,Hostel,2005,https://boxd.it/28ig
2024-10-11,The Conjuring,2013,https://boxd.it/4sr2
2025-05-13,Companion,2025,https://boxd.it/F04o
2025-06-16,Pan's Labyrinth,2006,https://boxd.it/28No
2025-06-17,No Country for Old Men,2007,https://boxd.it/21ew
2025-06-22,28 Weeks Later,2007,https://boxd.it/28Bi
